product_id,warehouse_id,stock_qty,reorder_level
1,1,35,138
1,2,635,179
1,3,618,209
1,4,272,196
1,5,416,275
1,6,405,254
1,7,259,215
1,8,310,276
2,1,21,182
2,2,289,168
2,3,452,140
2,4,620,295
2,5,63,173
2,6,164,246
2,7,170,170
2,8,580,275
3,1,531,188
3,2,567,121
3,3,572,241
3,4,516,197
3,5,225,292
3,6,759,159
3,7,336,255
3,8,78,273
4,1,424,219
4,2,745,152
4,3,280,250
4,4,789,102
4,5,414,217
4,6,573,122
4,7,569,190
4,8,84,159
5,1,427,248
5,2,553,166
5,3,554,182
5,4,508,229
5,5,623,151
5,6,213,154
5,7,216,123
5,8,205,279
6,1,316,192
6,2,611,244
6,3,387,203
6,4,549,138
6,5,272,111
6,6,525,195
6,7,128,195
6,8,667,218
7,1,103,139
7,2,343,252
7,3,51,188
7,4,307,232
7,5,641,105
7,6,116,108
7,7,229,244
7,8,517,250
8,1,600,154
8,2,287,299
8,3,306,209
8,4,119,214
8,5,627,255
8,6,154,165
8,7,58,186
8,8,225,146
9,1,407,121
9,2,48,113
9,3,55,242
9,4,398,280
9,5,489,224
9,6,85,253
9,7,675,201
9,8,142,280
10,1,112,165
10,2,346,244
10,3,258,264
10,4,111,271
10,5,538,200
10,6,207,214
10,7,183,194
10,8,260,284
11,1,247,144
11,2,59,165
11,3,380,115
11,4,586,107
11,5,68,166
11,6,545,281
11,7,777,265
11,8,799,223
12,1,77,125
12,2,168,181
12,3,793,101
12,4,223,273
12,5,786,176
12,6,623,251
12,7,471,294
12,8,688,126
13,1,502,182
13,2,400,165
13,3,419,131
13,4,403,223
13,5,408,143
13,6,471,161
13,7,166,273
13,8,32,219
14,1,754,149
14,2,56,140
14,3,245,119
14,4,653,195
14,5,787,135
14,6,477,124
14,7,414,105
14,8,663,119
15,1,483,186
15,2,350,159
15,3,508,129
15,4,663,193
15,5,166,184
15,6,246,288
15,7,78,146
15,8,750,215
16,1,586,137
16,2,469,138
16,3,292,207
16,4,441,163
16,5,179,106
16,6,297,246
16,7,323,185
16,8,191,166
17,1,522,127
17,2,345,216
17,3,514,129
17,4,177,231
17,5,78,261
17,6,704,154
17,7,593,222
17,8,313,130
18,1,283,293
18,2,226,193
18,3,462,166
18,4,264,160
18,5,119,199
18,6,316,206
18,7,186,114
18,8,763,175
19,1,167,263
19,2,36,213
19,3,539,187
19,4,543,135
19,5,473,100
19,6,559,173
19,7,210,192
19,8,465,110
20,1,438,155
20,2,303,246
20,3,205,135
20,4,204,233
20,5,255,282
20,6,199,150
20,7,635,120
20,8,109,255
21,1,768,226
21,2,799,170
21,3,199,152
21,4,160,256
21,5,705,281
21,6,663,149
21,7,616,178
21,8,227,102
22,1,87,277
22,2,770,233
22,3,437,284
22,4,76,232
22,5,375,185
22,6,308,263
22,7,524,123
22,8,35,204
23,1,508,134
23,2,701,168
23,3,274,147
23,4,596,193
23,5,57,141
23,6,739,195
23,7,608,252
23,8,24,191
24,1,552,214
24,2,548,118
24,3,143,191
24,4,751,162
24,5,348,299
24,6,748,197
24,7,610,292
24,8,82,174
25,1,130,287
25,2,526,214
25,3,545,106
25,4,563,237
25,5,157,105
25,6,269,122
25,7,249,258
25,8,206,142
26,1,125,179
26,2,276,242
26,3,50,104
26,4,118,278
26,5,776,149
26,6,287,104
26,7,633,263
26,8,610,218
27,1,555,161
27,2,739,213
27,3,125,189
27,4,116,283
27,5,203,111
27,6,299,131
27,7,496,226
27,8,619,228
28,1,799,171
28,2,132,131
28,3,144,203
28,4,160,238
28,5,626,158
28,6,252,137
28,7,704,246
28,8,493,291
29,1,426,142
29,2,38,262
29,3,418,277
29,4,450,252
29,5,637,234
29,6,57,201
29,7,73,298
29,8,391,186
30,1,430,161
30,2,363,283
30,3,466,244
30,4,348,202
30,5,594,113
30,6,352,232
30,7,170,274
30,8,381,163
31,1,452,269
31,2,667,102
31,3,393,127
31,4,563,147
31,5,90,183
31,6,463,151
31,7,536,271
31,8,41,157
32,1,162,207
32,2,426,298
32,3,484,262
32,4,67,110
32,5,55,264
32,6,655,168
32,7,714,259
32,8,299,260
33,1,575,109
33,2,656,125
33,3,276,131
33,4,552,103
33,5,464,160
33,6,60,173
33,7,135,178
33,8,375,265
34,1,190,130
34,2,81,252
34,3,546,168
34,4,106,219
34,5,624,236
34,6,171,212
34,7,146,230
34,8,154,175
35,1,436,247
35,2,315,170
35,3,269,288
35,4,109,289
35,5,579,173
35,6,485,256
35,7,731,245
35,8,246,266
36,1,415,151
36,2,581,281
36,3,395,217
36,4,581,177
36,5,647,222
36,6,500,179
36,7,51,162
36,8,361,156
37,1,213,231
37,2,579,198
37,3,619,201
37,4,32,190
37,5,186,161
37,6,351,242
37,7,353,225
37,8,296,172
38,1,241,175
38,2,78,297
38,3,42,140
38,4,584,117
38,5,640,189
38,6,470,268
38,7,83,232
38,8,417,212
39,1,382,288
39,2,131,233
39,3,250,273
39,4,776,139
39,5,446,186
39,6,704,190
39,7,163,272
39,8,227,257
40,1,645,170
40,2,550,124
40,3,776,290
40,4,797,221
40,5,295,300
40,6,665,281
40,7,667,280
40,8,150,205
41,1,125,101
41,2,440,296
41,3,583,249
41,4,140,227
41,5,427,246
41,6,173,206
41,7,306,259
41,8,641,128
42,1,408,215
42,2,729,217
42,3,314,285
42,4,381,174
42,5,381,200
42,6,558,242
42,7,629,198
42,8,683,182
43,1,26,290
43,2,531,197
43,3,474,176
43,4,208,237
43,5,331,137
43,6,466,247
43,7,406,248
43,8,257,122
44,1,358,182
44,2,642,162
44,3,353,152
44,4,456,102
44,5,46,112
44,6,282,244
44,7,529,176
44,8,569,298
45,1,339,237
45,2,654,211
45,3,549,232
45,4,764,275
45,5,460,199
45,6,495,191
45,7,61,252
45,8,712,189
46,1,483,102
46,2,712,117
46,3,557,158
46,4,121,204
46,5,403,228
46,6,430,266
46,7,594,246
46,8,177,148
47,1,451,224
47,2,431,212
47,3,659,250
47,4,371,277
47,5,562,291
47,6,114,143
47,7,391,181
47,8,395,119
48,1,338,231
48,2,199,128
48,3,691,175
48,4,726,187
48,5,541,207
48,6,666,140
48,7,556,174
48,8,543,153
49,1,537,148
49,2,442,146
49,3,81,261
49,4,598,254
49,5,129,190
49,6,603,261
49,7,671,285
49,8,63,277
50,1,441,102
50,2,22,178
50,3,747,276
50,4,586,101
50,5,331,201
50,6,120,250
50,7,35,271
50,8,50,150
51,1,199,227
51,2,586,245
51,3,292,265
51,4,564,231
51,5,167,247
51,6,223,205
51,7,636,131
51,8,168,140
52,1,550,294
52,2,541,127
52,3,49,125
52,4,97,143
52,5,555,225
52,6,498,256
52,7,460,115
52,8,685,103
53,1,720,297
53,2,612,182
53,3,167,283
53,4,263,190
53,5,302,143
53,6,53,168
53,7,663,125
53,8,616,116
54,1,377,149
54,2,480,259
54,3,414,105
54,4,75,156
54,5,425,249
54,6,64,212
54,7,75,258
54,8,264,163
55,1,248,111
55,2,183,250
55,3,197,180
55,4,26,216
55,5,330,207
55,6,637,164
55,7,527,117
55,8,268,273
56,1,419,272
56,2,755,249
56,3,246,205
56,4,336,202
56,5,748,224
56,6,42,162
56,7,109,144
56,8,194,191
57,1,408,147
57,2,27,174
57,3,425,243
57,4,391,129
57,5,363,236
57,6,414,185
57,7,432,266
57,8,87,131
58,1,452,189
58,2,587,162
58,3,416,148
58,4,498,172
58,5,372,160
58,6,466,108
58,7,305,270
58,8,45,187
59,1,179,161
59,2,742,133
59,3,114,150
59,4,296,239
59,5,150,242
59,6,473,219
59,7,265,140
59,8,396,190
60,1,241,284
60,2,434,196
60,3,664,248
60,4,233,176
60,5,507,229
60,6,229,158
60,7,483,272
60,8,154,280
61,1,287,252
61,2,470,250
61,3,396,236
61,4,272,203
61,5,642,230
61,6,237,132
61,7,788,131
61,8,714,231
62,1,113,238
62,2,296,288
62,3,414,107
62,4,693,283
62,5,601,137
62,6,338,103
62,7,419,281
62,8,108,277
63,1,201,298
63,2,257,182
63,3,212,269
63,4,131,117
63,5,595,192
63,6,532,294
63,7,324,149
63,8,87,283
64,1,338,122
64,2,251,173
64,3,149,283
64,4,428,172
64,5,384,203
64,6,495,298
64,7,663,260
64,8,155,170
65,1,200,107
65,2,395,273
65,3,699,276
65,4,379,205
65,5,45,268
65,6,740,279
65,7,493,163
65,8,430,190
66,1,663,125
66,2,206,174
66,3,137,169
66,4,643,287
66,5,244,282
66,6,713,110
66,7,434,110
66,8,643,141
67,1,461,150
67,2,795,177
67,3,179,197
67,4,776,110
67,5,585,179
67,6,664,263
67,7,203,244
67,8,253,245
68,1,529,283
68,2,553,165
68,3,465,271
68,4,720,247
68,5,377,100
68,6,134,295
68,7,691,173
68,8,63,249
69,1,641,278
69,2,68,162
69,3,717,128
69,4,58,181
69,5,235,298
69,6,373,291
69,7,108,206
69,8,731,290
70,1,423,291
70,2,650,156
70,3,307,234
70,4,112,189
70,5,454,213
70,6,368,277
70,7,535,289
70,8,724,260
71,1,660,215
71,2,540,113
71,3,712,278
71,4,230,209
71,5,709,231
71,6,150,225
71,7,800,148
71,8,64,279
72,1,592,166
72,2,198,239
72,3,187,299
72,4,672,160
72,5,576,166
72,6,275,115
72,7,192,191
72,8,375,205
73,1,114,151
73,2,671,179
73,3,160,134
73,4,722,280
73,5,518,271
73,6,514,160
73,7,742,161
73,8,26,231
74,1,728,213
74,2,156,264
74,3,379,278
74,4,326,134
74,5,744,136
74,6,621,244
74,7,266,185
74,8,664,130
75,1,581,208
75,2,798,143
75,3,713,270
75,4,178,253
75,5,492,296
75,6,435,152
75,7,137,276
75,8,316,103
76,1,389,224
76,2,231,111
76,3,81,171
76,4,331,150
76,5,133,279
76,6,336,214
76,7,135,141
76,8,352,213
77,1,499,245
77,2,391,174
77,3,192,242
77,4,93,111
77,5,31,219
77,6,788,224
77,7,105,291
77,8,754,184
78,1,776,244
78,2,290,127
78,3,680,225
78,4,464,225
78,5,214,300
78,6,576,182
78,7,28,191
78,8,113,264
79,1,312,260
79,2,648,287
79,3,688,279
79,4,277,267
79,5,271,120
79,6,161,291
79,7,48,106
