order_id,order_date,customer_id,product_id,warehouse_id,quantity,unit_price
10001,2025-09-06,700,21,6,20,421.4
10002,2025-04-18,187,6,8,14,446.02
10003,2025-01-05,155,117,5,17,912.3
10004,2025-02-16,344,44,7,2,198.04
10005,2025-10-22,746,90,2,1,100.4
10006,2025-09-07,3,68,7,6,868.25
10007,2025-02-27,80,46,8,12,494.18
10008,2025-01-08,45,35,2,7,182.65
10009,2025-06-16,558,84,8,10,356.5
10010,2025-07-24,393,41,7,5,775.86
10011,2025-11-22,711,31,5,20,619.84
10012,2025-11-14,416,117,1,23,843.71
10013,2025-10-23,523,61,8,11,961.42
10014,2025-07-13,403,92,2,17,682.42
10015,2025-11-10,739,34,8,12,566.82
10016,2025-09-26,375,68,3,8,1079.46
10017,2025-11-30,371,42,7,14,325.83
10018,2025-07-02,464,67,5,22,507.05
10019,2025-08-19,778,94,3,17,48.28
10020,2025-11-15,391,67,6,9,486.26
10021,2025-10-06,262,118,6,8,907.39
10022,2025-02-15,298,17,7,20,866.18
10023,2025-12-31,664,53,7,20,366.35
10024,2025-11-13,65,110,6,22,611.33
10025,2025-09-27,111,64,1,19,203.09
10026,2025-08-31,451,114,2,13,321.67
10027,2025-10-05,568,119,5,11,586.11
10028,2025-10-20,91,14,8,25,113.38
10029,2025-06-21,564,111,1,23,358.79
10030,2025-03-16,531,43,4,1,276.74
10031,2025-05-11,524,72,7,14,420.63
10032,2025-10-04,135,40,4,2,379.7
10033,2025-10-26,206,47,6,15,954.65
10034,2025-07-29,225,5,5,15,883.14
10035,2025-07-27,60,27,4,6,419.98
10036,2025-09-12,511,2,3,8,380.69
10037,2025-03-16,477,67,2,4,540.68
10038,2025-05-12,159,88,7,2,919.63
10039,2025-04-30,317,91,3,9,863.97
10040,2025-07-20,160,42,7,21,357.15
10041,2025-08-09,118,87,7,2,557.43
10042,2025-09-26,502,10,5,12,523.06
10043,2025-05-24,207,77,2,5,117.35
10044,2025-01-01,673,25,3,10,430.15
10045,2025-07-06,72,15,5,24,718.16
10046,2025-11-01,35,60,1,2,112.91
10047,2025-10-23,746,10,6,22,751.18
10048,2025-11-27,268,39,3,4,170.38
10049,2025-10-05,252,42,8,6,408.84
10050,2025-05-26,131,72,4,8,428.93
10051,2025-01-28,706,102,4,24,56.37
10052,2025-08-06,299,80,2,19,163.0
10053,2025-11-01,252,91,1,3,985.76
10054,2025-03-31,778,44,2,15,198.63
10055,2025-01-17,152,101,4,24,246.11
10056,2025-04-15,703,119,4,11,571.26
10057,2025-02-05,375,26,1,14,203.34
10058,2025-09-12,55,34,5,24,552.06
10059,2025-09-20,70,96,2,9,840.05
10060,2025-05-02,402,74,1,22,628.23
10061,2025-04-27,313,85,7,1,189.47
10062,2025-11-06,344,59,3,18,572.19
10063,2025-05-30,192,12,5,23,418.42
10064,2025-12-16,400,49,3,9,405.63
10065,2025-11-09,327,40,8,17,500.54
10066,2025-01-05,107,110,3,8,695.41
10067,2025-10-10,139,86,7,25,326.44
10068,2025-05-17,678,47,5,23,846.8
10069,2025-09-10,59,89,1,22,55.81
10070,2025-11-07,495,5,6,5,752.06
10071,2025-09-18,766,51,3,19,933.8
10072,2025-10-06,665,54,7,3,50.54
10073,2025-05-23,50,21,8,18,373.94
10074,2025-09-24,55,88,5,19,693.69
10075,2025-04-06,203,40,8,20,403.19
10076,2025-07-21,274,50,8,4,766.71
10077,2025-06-11,776,20,5,18,408.99
10078,2025-07-22,646,104,5,4,318.14
10079,2025-07-01,72,34,4,18,454.45
10080,2025-06-07,741,83,3,21,924.22
10081,2025-06-24,345,51,8,12,1025.89
10082,2025-05-28,699,28,6,3,826.05
10083,2025-10-23,588,52,4,24,794.46
10084,2025-05-03,35,16,5,24,68.5
10085,2025-12-27,730,79,5,3,410.28
10086,2025-07-04,717,47,1,17,636.78
10087,2025-03-13,457,36,1,19,284.26
10088,2025-04-25,339,81,6,17,710.68
10089,2025-10-23,229,92,1,25,648.73
10090,2025-05-21,410,75,2,13,186.35
10091,2025-09-30,74,85,5,21,206.92
10092,2025-11-13,631,25,6,7,446.03
10093,2025-08-13,792,102,4,9,55.52
10094,2025-11-10,211,9,6,14,664.38
10095,2025-11-20,108,46,5,2,450.18
10096,2025-08-21,158,44,2,12,215.26
10097,2025-06-13,112,115,3,17,684.54
10098,2025-04-09,794,105,7,24,315.94
10099,2025-01-07,29,28,7,1,789.98
10100,2025-10-21,332,117,2,11,869.24
10101,2025-01-04,392,27,6,4,351.5
10102,2025-10-27,584,98,2,24,328.19
10103,2025-05-03,621,89,8,5,55.79
10104,2025-04-28,650,51,4,24,975.04
10105,2025-01-20,247,7,7,8,236.19
10106,2025-07-31,480,6,3,1,377.01
10107,2025-03-15,109,21,6,17,457.31
10108,2025-09-15,723,80,2,2,148.16
10109,2025-01-13,214,107,8,4,522.62
10110,2025-02-14,694,67,6,4,507.0
10111,2025-05-21,152,40,5,16,462.35
10112,2025-12-16,467,67,7,14,754.44
10113,2025-02-10,734,108,1,24,68.87
10114,2025-01-29,453,80,5,9,151.08
10115,2025-03-25,781,21,8,20,466.76
10116,2025-06-24,337,70,6,1,829.77
