product_id,product_name,category,supplier_id,unit_cost
1,Product_1,Home,22,439
2,Product_2,Furniture,25,207
3,Product_3,Sports,16,30
4,Product_4,Electronics,9,128
5,Product_5,Office,6,576
6,Product_6,Home,12,224
7,Product_7,Home,15,123
8,Product_8,Office,23,574
9,Product_9,Home,1,507
10,Product_10,Home,11,398
11,Product_11,Sports,7,440
12,Product_12,Sports,17,208
13,Product_13,Home,12,145
14,Product_14,Furniture,9,77
15,Product_15,Sports,2,411
16,Product_16,Electronics,14,33
17,Product_17,Furniture,19,450
18,Product_18,Electronics,8,291
19,Product_19,Sports,17,330
20,Product_20,Sports,15,244
21,Product_21,Office,5,237
22,Product_22,Office,16,90
23,Product_23,Office,5,595
24,Product_24,Sports,15,381
25,Product_25,Home,21,321
26,Product_26,Sports,12,148
27,Product_27,Furniture,23,255
28,Product_28,Furniture,14,405
29,Product_29,Sports,1,210
30,Product_30,Furniture,8,307
31,Product_31,Furniture,16,329
32,Product_32,Sports,20,516
33,Product_33,Furniture,5,107
34,Product_34,Sports,2,330
35,Product_35,Home,11,107
36,Product_36,Home,12,163
37,Product_37,Electronics,7,35
38,Product_38,Furniture,9,93
39,Product_39,Home,5,123
40,Product_40,Office,25,259
41,Product_41,Furniture,5,482
42,Product_42,Sports,18,233
43,Product_43,Home,23,191
44,Product_44,Home,21,112
45,Product_45,Office,16,324
46,Product_46,Home,3,238
47,Product_47,Electronics,18,469
48,Product_48,Furniture,14,141
49,Product_49,Office,16,259
50,Product_50,Home,2,524
51,Product_51,Sports,5,515
52,Product_52,Office,16,523
53,Product_53,Home,20,188
54,Product_54,Office,11,26
55,Product_55,Home,16,499
56,Product_56,Sports,12,323
57,Product_57,Sports,22,456
58,Product_58,Office,21,97
59,Product_59,Electronics,1,389
60,Product_60,Furniture,4,66
61,Product_61,Sports,16,542
62,Product_62,Electronics,7,167
63,Product_63,Office,11,445
64,Product_64,Furniture,11,116
65,Product_65,Home,18,505
66,Product_66,Furniture,14,235
67,Product_67,Sports,9,370
68,Product_68,Electronics,10,587
69,Product_69,Furniture,16,319
70,Product_70,Furniture,17,433
71,Product_71,Home,12,298
72,Product_72,Sports,4,228
73,Product_73,Office,11,358
74,Product_74,Office,19,326
75,Product_75,Electronics,13,109
76,Product_76,Sports,18,587
77,Product_77,Sports,10,70
78,Product_78,Electronics,2,131
79,Product_79,Sports,20,214
80,Product_80,Home,18,81
81,Product_81,Home,5,405
82,Product_82,Office,2,104
83,Product_83,Office,4,488
84,Product_84,Electronics,14,205
85,Product_85,Electronics,12,123
86,Product_86,Furniture,18,162
87,Product_87,Furniture,6,284
88,Product_88,Electronics,11,451
89,Product_89,Sports,19,40
90,Product_90,Sports,19,75
91,Product_91,Electronics,4,554
92,Product_92,Home,23,451
93,Product_93,Sports,3,434
94,Product_94,Sports,20,34
95,Product_95,Sports,25,179
96,Product_96,Home,4,442
97,Product_97,Sports,7,104
98,Product_98,Electronics,14,175
99,Product_99,Electronics,22,24
100,Product_100,Electronics,7,144
101,Product_101,Office,16,144
102,Product_102,Furniture,24,38
103,Product_103,Sports,24,268
104,Product_104,Electronics,12,211
105,Product_105,Electronics,10,168
106,Product_106,Sports,15,590
107,Product_107,Electronics,23,280
108,Product_108,Electronics,2,52
109,Product_109,Home,3,35
110,Product_110,Furniture,10,418
111,Product_111,Sports,20,189
112,Product_112,Furniture,12,81
113,Product_113,Sports,22,469
114,Product_114,Office,4,190
115,Product_115,Office,21,391
116,Product_116,Sports,13,447
117,Product_117,Furniture,25,483
118,Product_118,Furniture,10,600
119,Product_119,Electronics,20,306
120,Product_120,Home,24,360
