return_id,order_id,return_reason,returned_qty
9001,10004,Damaged,1
9002,10015,Late Delivery,6
9003,10020,Damaged,5
9004,10043,Late Delivery,1
9005,10056,Late Delivery,6
9006,10068,Late Delivery,16
9007,10092,Late Delivery,1
9008,10107,Damaged,3
9009,10108,Late Delivery,1
9010,10111,Damaged,4
9011,10114,Wrong Item,2
9012,10115,Late Delivery,1
9013,10121,Damaged,1
9014,10134,Wrong Item,6
9015,10139,Wrong Item,2
9016,10146,Wrong Item,5
9017,10153,Late Delivery,25
9018,10185,Late Delivery,8
9019,10190,Damaged,1
9020,10192,Damaged,6
9021,10198,Late Delivery,13
9022,10204,Late Delivery,9
9023,10236,Damaged,2
9024,10242,Wrong Item,1
9025,10253,Damaged,3
9026,10276,Wrong Item,4
9027,10301,Late Delivery,24
9028,10344,Late Delivery,1
9029,10357,Wrong Item,7
9030,10399,Late Delivery,7
9031,10432,Damaged,1
9032,10447,Damaged,4
9033,10465,Damaged,15
9034,10475,Wrong Item,12
9035,10478,Damaged,2
9036,10525,Late Delivery,3
9037,10527,Late Delivery,1
9038,10541,Late Delivery,3
9039,10568,Late Delivery,2
9040,10570,Wrong Item,5
9041,10572,Damaged,2
9042,10595,Wrong Item,2
9043,10596,Damaged,14
9044,10600,Damaged,14
9045,10607,Late Delivery,2
9046,10617,Late Delivery,6
9047,10625,Damaged,1
9048,10627,Damaged,5
9049,10664,Damaged,5
9050,10685,Damaged,1
9051,10695,Wrong Item,6
9052,10699,Damaged,1
9053,10701,Damaged,2
9054,10703,Late Delivery,2
9055,10755,Damaged,4
9056,10761,Late Delivery,10
9057,10769,Wrong Item,1
9058,10793,Damaged,4
9059,10810,Late Delivery,4
9060,10825,Wrong Item,5
9061,10828,Late Delivery,10
9062,10845,Damaged,3
9063,10851,Damaged,1
9064,10853,Late Delivery,5
9065,10893,Late Delivery,5
9066,10895,Late Delivery,5
9067,10902,Late Delivery,1
9068,10909,Damaged,1
9069,10936,Wrong Item,5
9070,10937,Late Delivery,3
9071,10963,Wrong Item,7
9072,10979,Damaged,1
9073,11002,Damaged,9
9074,11031,Late Delivery,6
9075,11033,Wrong Item,2
9076,11058,Wrong Item,2
9077,11069,Damaged,1
9078,11125,Wrong Item,1
9079,11165,Wrong Item,1
9080,11171,Wrong Item,6
9081,11185,Damaged,1
9082,11218,Late Delivery,13
9083,11251,Wrong Item,7
9084,11256,Wrong Item,23
9085,11259,Late Delivery,1
9086,11264,Damaged,13
9087,11274,Late Delivery,11
9088,11311,Damaged,18
9089,11324,Damaged,7
9090,11326,Damaged,11
9091,11378,Late Delivery,1
9092,11379,Wrong Item,4
9093,11391,Late Delivery,11
9094,11392,Late Delivery,2
9095,11393,Wrong Item,12
9096,11405,Late Delivery,6
9097,11412,Damaged,6
9098,11456,Late Delivery,1
9099,11461,Damaged,1
9100,11467,Damaged,1
9101,11470,Late Delivery,5
9102,11492,Damaged,5
9103,11503,Wrong Item,9
9104,11504,Wrong Item,3
9105,11506,Wrong Item,4
9106,11516,Late Delivery,4
9107,11525,Wrong Item,1
9108,11527,Late Delivery,10
9109,11535,Late Delivery,2
9110,11557,Late Delivery,9
9111,11570,Wrong Item,12
9112,11573,Wrong Item,1
9113,11594,Late Delivery,16
9114,11614,Late Delivery,14
9115,11625,Damaged,12
9116,11647,Late Delivery,6
9117,11655,Late Delivery,5
9118,11666,Wrong Item,2
9119,11668,Late Delivery,1
9120,11680,Damaged,6
9121,11700,Wrong Item,1
9122,11716,Wrong Item,1
9123,11727,Damaged,13
9124,11757,Wrong Item,1
9125,11764,Wrong Item,6
9126,11770,Wrong Item,9
9127,11774,Wrong Item,1
9128,11779,Wrong Item,1
9129,11788,Damaged,2
