shipment_id,order_id,shipping_mode,delivery_date,delivery_status,shipping_cost
50001,10001,Road,2025-09-11,Delayed,14.54
50002,10002,Road,2025-04-25,Delivered,35.83
50003,10003,Air,2025-01-09,Delivered,38.81
50004,10004,Rail,2025-02-24,Delivered,40.65
50005,10005,Road,2025-10-30,Delivered,7.91
50006,10006,Rail,2025-09-11,Delivered,33.49
50007,10007,Air,2025-03-09,Delivered,37.91
50008,10008,Air,2025-01-14,Delayed,40.53
50009,10009,Rail,2025-06-18,Delayed,49.21
50010,10010,Road,2025-08-01,Delayed,44.68
50011,10011,Rail,2025-11-24,Delivered,42.15
50012,10012,Air,2025-11-16,Delayed,29.7
50013,10013,Rail,2025-10-25,Delayed,15.55
50014,10014,Rail,2025-07-20,Delivered,8.24
50015,10015,Road,2025-11-16,Delayed,30.68
50016,10016,Air,2025-10-01,Delivered,41.98
50017,10017,Air,2025-12-02,Delivered,36.62
50018,10018,Air,2025-07-12,Delayed,18.07
50019,10019,Rail,2025-08-28,Delivered,21.51
50020,10020,Air,2025-11-22,Delivered,5.04
50021,10021,Rail,2025-10-12,Delayed,9.11
50022,10022,Air,2025-02-20,Delivered,37.28
50023,10023,Rail,2026-01-06,Delivered,15.74
50024,10024,Air,2025-11-18,Delivered,8.6
50025,10025,Air,2025-10-05,Delayed,36.54
50026,10026,Rail,2025-09-04,Delivered,35.17
50027,10027,Road,2025-10-07,Delayed,10.32
50028,10028,Rail,2025-10-22,Delayed,7.48
50029,10029,Road,2025-06-30,Delivered,49.91
50030,10030,Road,2025-03-23,Delivered,28.4
50031,10031,Air,2025-05-17,Delivered,18.7
50032,10032,Rail,2025-10-10,Delivered,46.96
50033,10033,Road,2025-10-30,Delivered,37.82
50034,10034,Rail,2025-08-05,Delivered,41.11
50035,10035,Road,2025-08-05,Delivered,7.2
50036,10036,Rail,2025-09-16,Delivered,41.09
50037,10037,Air,2025-03-21,Delivered,47.79
50038,10038,Air,2025-05-21,Delivered,6.88
50039,10039,Rail,2025-05-07,Delivered,11.84
50040,10040,Road,2025-07-22,Delivered,13.92
50041,10041,Road,2025-08-16,Delivered,34.59
50042,10042,Road,2025-10-06,Delayed,45.02
50043,10043,Air,2025-05-30,Delivered,31.05
50044,10044,Air,2025-01-08,Delivered,20.76
50045,10045,Road,2025-07-10,Delivered,38.61
50046,10046,Rail,2025-11-09,Delivered,23.59
50047,10047,Road,2025-10-30,Delivered,12.64
50048,10048,Air,2025-12-06,Delivered,10.27
50049,10049,Air,2025-10-08,Delivered,27.81
50050,10050,Road,2025-06-03,Delivered,45.08
50051,10051,Air,2025-02-06,Delivered,11.91
50052,10052,Road,2025-08-14,Delivered,34.88
50053,10053,Rail,2025-11-11,Delivered,6.86
50054,10054,Air,2025-04-06,Delivered,5.48
50055,10055,Air,2025-01-20,Delivered,11.81
50056,10056,Air,2025-04-20,Delivered,49.88
50057,10057,Air,2025-02-08,Delivered,31.22
50058,10058,Rail,2025-09-16,Delivered,24.59
50059,10059,Rail,2025-09-26,Delivered,15.8
50060,10060,Air,2025-05-11,Delivered,42.16
50061,10061,Air,2025-05-04,Delivered,47.79
50062,10062,Air,2025-11-12,Delivered,22.72
50063,10063,Road,2025-06-06,Delayed,34.74
50064,10064,Road,2025-12-18,Delivered,21.31
50065,10065,Road,2025-11-17,Delivered,43.55
50066,10066,Rail,2025-01-07,Delivered,38.15
50067,10067,Rail,2025-10-20,Delayed,8.42
50068,10068,Rail,2025-05-23,Delayed,47.2
50069,10069,Rail,2025-09-17,Delayed,25.15
50070,10070,Rail,2025-11-16,Delivered,11.5
50071,10071,Road,2025-09-20,Delivered,33.23
50072,10072,Rail,2025-10-08,Delayed,27.18
50073,10073,Road,2025-05-30,Delivered,14.04
50074,10074,Air,2025-09-28,Delayed,39.97
50075,10075,Rail,2025-04-12,Delayed,23.14
50076,10076,Air,2025-07-28,Delayed,27.56
50077,10077,Air,2025-06-13,Delayed,38.87
50078,10078,Rail,2025-08-01,Delivered,6.86
50079,10079,Rail,2025-07-08,Delayed,42.55
50080,10080,Air,2025-06-11,Delivered,39.86
50081,10081,Rail,2025-07-02,Delivered,28.93
50082,10082,Rail,2025-06-01,Delivered,27.6
50083,10083,Rail,2025-10-31,Delivered,11.8
50084,10084,Road,2025-05-13,Delayed,44.54
50085,10085,Road,2026-01-04,Delivered,32.35
50086,10086,Air,2025-07-07,Delivered,14.83
50087,10087,Air,2025-03-22,Delivered,6.78
50088,10088,Road,2025-05-01,Delivered,30.05
50089,10089,Road,2025-11-02,Delivered,24.08
50090,10090,Road,2025-05-24,Delayed,15.18
50091,10091,Rail,2025-10-07,Delivered,24.41
50092,10092,Road,2025-11-22,Delivered,17.72
50093,10093,Road,2025-08-18,Delivered,38.64
50094,10094,Rail,2025-11-12,Delivered,30.1
50095,10095,Road,2025-11-27,Delivered,23.95
50096,10096,Road,2025-08-24,Delayed,26.87
50097,10097,Air,2025-06-22,Delayed,14.42
50098,10098,Air,2025-04-15,Delivered,41.53
50099,10099,Road,2025-01-10,Delivered,25.87
