supplier_id,supplier_name,country,rating
1,Supplier_1,Vietnam,3
2,Supplier_2,Germany,2
3,Supplier_3,India,2
4,Supplier_4,Vietnam,2
5,Supplier_5,UAE,3
6,Supplier_6,India,2
7,Supplier_7,Germany,5
8,Supplier_8,India,3
9,Supplier_9,India,5
10,Supplier_10,India,2
11,Supplier_11,China,2
12,Supplier_12,UAE,5
13,Supplier_13,India,3
14,Supplier_14,India,3
15,Supplier_15,Vietnam,5
16,Supplier_16,China,2
17,Supplier_17,UAE,4
18,Supplier_18,UAE,3
19,Supplier_19,India,3
20,Supplier_20,Vietnam,2
21,Supplier_21,UAE,2
22,Supplier_22,UAE,2
23,Supplier_23,UAE,3
24,Supplier_24,Germany,5
25,Supplier_25,Vietnam,5
